method,iteration,learning_rate,batch_size,num_blocks,filters_1,filters_2,filters_3,kernel_size,dropout,dense_units,val_accuracy,val_loss,test_accuracy,test_loss,time_sec,num_params,optimizer,weight_decay,use_batch_norm,generation,individual_in_generation,pso_iteration,particle,aco_iteration,ant,hs_phase,memory_index,hs_iteration,dataset,seed
manual_search,1,0.001,64,2,32,64,128,3,0.25,128,0.9156666666666666,0.23254150833686194,0.91,0.23706710848808288,28.162203073501587,467818,,,,,,,,,,,,,FashionMNIST,42
manual_search,2,0.0005,128,2,32,64,128,3,0.3,256,0.8998333333333334,0.2668368133703868,0.8969,0.27689222762584687,13.530269145965576,870634,,,,,,,,,,,,,FashionMNIST,42
manual_search,3,0.001,64,3,32,64,128,3,0.35,128,0.9038333333333334,0.2587220994234085,0.8972,0.27524284791946413,23.451788663864136,435306,,,,,,,,,,,,,FashionMNIST,42
manual_search,4,0.0002,128,3,64,128,256,3,0.4,256,0.889,0.31066970086097717,0.8834,0.31941021370887757,27.73020625114441,1736906,,,,,,,,,,,,,FashionMNIST,42
manual_search,5,0.0008,32,1,32,64,128,5,0.2,128,0.9201666666666667,0.21925915155808132,0.9159,0.2276645844578743,30.74640655517578,830698,,,,,,,,,,,,,FashionMNIST,42
random_search,1,0.0019004375238737116,32,3,32,32,64,3,0.3682356070820062,256,0.8886666666666667,0.3040131994485855,0.8805,0.31673868567943575,36.90804386138916,233770,adamw,0.0004748306046370143,0.0,,,,,,,,,,FashionMNIST,42
random_search,2,0.0015169980582701848,32,1,16,32,64,3,0.2806225314693065,256,0.9196666666666666,0.22902077048520247,0.913,0.23915038378834724,25.89035987854004,808122,adamw,0.0001270500735408539,1.0,,,,,,,,,,FashionMNIST,42
random_search,3,0.00027598230915285764,128,1,16,128,128,5,0.13893567083582092,64,0.8811666666666667,0.32751850283145906,0.8811,0.33711975059509275,13.64146089553833,208250,sgd,2.0259598275933324e-06,1.0,,,,,,,,,,FashionMNIST,42
random_search,4,0.0001561107296769821,128,3,32,32,256,5,0.26811404572735037,128,0.871,0.3426124141216278,0.8657,0.3523630183696747,26.3646981716156,2217770,adam,4.5302471291184675e-05,1.0,,,,,,,,,,FashionMNIST,42
random_search,5,0.001427921361121902,32,1,64,32,128,3,0.42765886050757346,64,0.914,0.23024292853474618,0.913,0.23983122799396514,30.04146671295166,841098,sgd,6.822142856256232e-06,1.0,,,,,,,,,,FashionMNIST,42
random_search,6,0.00021149893961648075,128,1,64,64,256,3,0.3045655028334941,64,0.8978333333333334,0.2830102588733037,0.8926,0.29288367686271666,13.612394571304321,841098,adamw,0.00015395024835516638,0.0,,,,,,,,,,FashionMNIST,42
random_search,7,0.0008404665310526154,128,3,64,128,64,5,0.4214259600949048,64,0.8958333333333334,0.28046708802382153,0.8924,0.29129162273406983,39.044294357299805,1063690,adam,0.0002920167626720552,1.0,,,,,,,,,,FashionMNIST,42
